NDB_No,Shrt_Desc,Water_g,Energ_Kcal,Protein_g,Lipid_Tot_g,Ash_g,Carbohydrt_g,Fiber_TD_g,Sugar_Tot_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_mcg,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_mcg,Folic_Acid_mcg,Food_Folate_mcg,Folate_DFE_mcg,Choline_Tot_mg,Vit_B12_mcg,Vit_A_IU,Vit_A_RAE,Retinol_mcg,Alpha_Carot_mcg,Beta_Carot_mcg,Beta_Crypt_mcg,Lycopene_mcg,Lut_and_Zea_mcg,Vit_E_mg,Vit_D_mcg,Vit_D_IU,Vit_K_mcg,FA_Sat_g,FA_Mono_g,FA_Poly_g,Cholestrl_mg,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
11591,"WATERCRESS,RAW",95.11,11,2.3,0.1,1.2,1.29,0.5,0.2,120,0.2,21,60,330,41,0.11,0.077,0.244,0.9,43,0.09,0.12,0.2,0.31,0.129,9,0,9,9,9,0.0,3191,160,0,0,1914,0,0,5767,1,0,0,250,0.027,0.008,0.035,0,34,"1 cup, chopped",2.5,1 sprig,8
11116,"CABBAGE,CHINESE (PAK-CHOI),RAW",95.32,13,1.5,0.2,0.8,2.18,1,1.18,105,0.8,19,37,252,65,0.19,0.021,0.159,0.5,45,0.04,0.07,0.5,0.088,0.194,66,0,66,66,6.4,0.0,4468,223,0,1,2681,0,0,40,0.09,0,0,45.5,0.027,0.015,0.096,0,70,"1 cup, shredded",840,1 head,12
11250,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",95.63,13,1.35,0.22,0.57,2.23,1.1,0.94,35,1.24,13,33,238,5,0.2,0.016,0.179,0.6,3.7,0.057,0.062,0.357,0.15,0.082,73,0,73,73,8.4,0.0,3312,166,0,0,1987,0,0,1223,0.18,0,0,102.3,0.029,0.008,0.117,0,55,"1 cup, shredded or chopped",163,"1 head,  (5"" dia)",26
11252,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",95.64,14,0.9,0.14,0.36,2.97,1.2,1.97,18,0.41,7,20,141,10,0.15,0.025,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29,0,29,29,6.7,0.0,502,25,0,4,299,0,0,277,0.18,0,0,24.1,0.018,0.006,0.074,0,72,"1 cup, shredded",57,"1 cup, chopped (1/2"" pieces, loosely packed)",5
11637,"RADISHES,WHITE ICICLE,RAW",95.37,14,1.1,0.1,0.8,2.63,1.4,,27,0.8,9,28,280,16,0.13,0.099,0.033,0.7,29,0.03,0.02,0.3,0.184,0.075,14,0,14,14,,0.0,0,0,0,,,,,,,0,0,,0.03,0.016,0.045,0,50,".5 cup, slices",17,"1 radish,  (7"" long)",35
11118,"CABBAGE,KIMCHI",94.3,15,1.1,0.5,1.7,2.4,1.6,1.06,33,2.5,14,24,151,498,0.22,0.024,,0.5,0,0.01,0.21,1.1,,0.213,52,0,52,52,15.5,0.0,93,5,0,1,55,0,0,49,0.11,0,0,43.6,0.067,0.037,0.241,0,150,1 cup,,,0
11253,"LETTUCE,GRN LEAF,RAW",94.98,15,1.36,0.15,0.62,2.87,1.3,0.78,36,0.86,13,29,194,28,0.18,0.029,0.25,0.6,9.2,0.07,0.08,0.375,0.134,0.09,38,0,38,38,13.6,0.0,7405,370,0,0,4443,0,0,1730,0.22,0,0,126.3,0.02,0.006,0.082,0,36,"1 cup, shredded",360,1 head,36
11696,"TOMATOES,YELLOW,RAW",95.28,15,0.98,0.26,0.5,2.98,0.7,,11,0.49,12,36,258,23,0.28,0.101,0.12,0.4,9,0.041,0.047,1.179,0.11,0.056,30,0,30,30,,0.0,0,0,0,,,,,,,0,0,,0.036,0.04,0.108,0,139,"1 cup, chopped",212,1 tomato,9
11119,"CABBAGE,CHINESE (PE-TSAI),RAW",94.39,16,1.2,0.2,0.98,3.23,1.2,1.41,77,0.31,13,29,238,9,0.23,0.036,0.19,0.6,27,0.04,0.05,0.4,0.105,0.232,79,0,79,79,7.6,0.0,318,16,0,1,190,0,0,48,0.12,0,0,42.9,0.043,0.023,0.072,0,76,"1 cup, shredded",,,7
11143,"CELERY,RAW",95.43,16,0.69,0.17,0.75,2.97,1.6,1.34,40,0.2,11,24,260,80,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36,0,36,36,6.1,0.0,449,22,0,0,270,0,0,283,0.27,0,0,29.3,0.042,0.032,0.079,0,101,"1 cup, chopped",110,1 NLEA serving,11
