NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(�g),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(�g),Folic_Acid_(�g),Food_Folate_(�g),Folate_DFE_(�g),Choline_Tot_(mg),Vit_B12_(�g),Vit_A_IU,Vit_A_RAE,Retinol_(�g),Alpha_Carot_(�g),Beta_Carot_(�g),Beta_Crypt_(�g),Lycopene_(�g),Lut+Zea_(�g),Vit_E_(mg),Vit_D_�g,Vit_D_IU,Vit_K_(�g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
1004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,1.729,0.166,36,0,36,36,15.4,1.22,721,198,192,0,74,0,0,0,0.25,0.5,21,2.4,18.669,7.778,0.8,75,28.35,1 oz,17,1 cubic inch,0
1006,"CHEESE,BRIE",48.42,334,20.75,27.68,2.7,0.45,0,0.45,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.69,0.235,65,0,65,65,15.4,1.65,592,174,173,0,9,0,0,0,0.24,0.5,20,2.3,17.41,8.013,0.826,100,28.35,1 oz,144,"1 cup, sliced",0
1007,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,3.68,0.46,0,0.46,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.028,0.488,0.63,1.364,0.227,62,0,62,62,15.4,1.3,820,241,240,0,12,0,0,0,0.21,0.4,18,2,15.259,7.023,0.724,72,28.35,1 oz,246,1 cup,0
1009,"CHEESE,CHEDDAR",37.02,404,22.87,33.31,3.71,3.09,0,0.48,710,0.14,27,455,76,653,3.64,0.03,0.027,28.5,0,0.029,0.428,0.059,0.41,0.066,27,0,27,27,16.5,1.1,1242,330,330,0,85,0,0,0,0.71,0.6,24,2.4,18.867,9.246,1.421,99,132,"1 cup, diced",244,"1 cup, melted",0
1011,"CHEESE,COLBY",38.2,394,23.76,32.11,3.36,2.57,0,0.52,685,0.76,26,457,127,604,3.07,0.042,0.012,14.5,0,0.015,0.375,0.093,0.21,0.079,18,0,18,18,15.4,0.83,994,264,257,0,82,0,0,0,0.28,0.6,24,2.7,20.218,9.28,0.953,95,132,"1 cup, diced",113,"1 cup, shredded",0
1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81.24,81,10.45,2.27,1.27,4.76,0,4,111,0.13,9,150,125,308,0.51,0.033,0.015,11.9,0,0.02,0.251,0.103,0.524,0.057,8,0,8,8,16.3,0.47,225,68,68,0,6,0,0,0,0.08,0,0,0,1.235,0.516,0.083,12,113,4 oz,226,"1 cup,  (not packed)",0
1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",82.48,72,12.39,1.02,1.39,2.72,0,2.72,61,0.14,5,134,86,406,0.38,0.028,0.003,9,0,0.021,0.165,0.128,0.215,0.068,12,0,12,12,17.5,0.63,41,11,11,0,3,0,0,0,0.01,0,0,0.1,0.645,0.291,0.031,4,113,4 oz,226,"1 cup,  (not packed)",0
1017,"CHEESE,CREAM",52.62,350,6.15,34.44,1.27,5.52,0,3.76,97,0.11,9,107,132,314,0.5,0.018,0.011,8.6,0,0.023,0.23,0.091,0.517,0.056,9,0,9,9,27.2,0.22,1111,308,303,1,59,2,0,7,0.86,0,0,2.1,20.213,8.907,1.483,101,14.5,1 tbsp,232,1 cup,0
1018,"CHEESE,EDAM",41.56,357,24.99,27.8,4.22,1.43,0,1.43,731,0.44,30,536,188,812,3.75,0.036,0.011,14.5,0,0.037,0.389,0.082,0.281,0.076,16,0,16,16,15.4,1.54,825,243,242,0,11,0,0,0,0.24,0.5,20,2.3,17.572,8.125,0.665,89,28.35,1 oz,198,"1 package,  (7 oz)",0
1019,"CHEESE,FETA",55.22,264,14.21,21.28,5.2,4.09,0,4.09,493,0.65,19,337,62,917,2.88,0.032,0.028,15,0,0.154,0.844,0.991,0.967,0.424,32,0,32,32,15.4,1.69,422,125,125,0,3,0,0,0,0.18,0.4,16,1.8,14.946,4.623,0.591,89,150,"1 cup, crumbled",28.35,1 oz,0
