NDB_No,Shrt_Desc,Water_g,Energ_Kcal,Protein_g,Lipid_Tot_g,Ash_g,Carbohydrt_g,Fiber_TD_g,Sugar_Tot_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_mcg,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_mcg,Folic_Acid_mcg,Food_Folate_mcg,Folate_DFE_mcg,Choline_Tot_mg,Vit_B12_mcg,Vit_A_IU,Vit_A_RAE,Retinol_mcg,Alpha_Carot_mcg,Beta_Carot_mcg,Beta_Crypt_mcg,Lycopene_mcg,Lut_and_Zea_mcg,Vit_E_mg,Vit_D_mcg,Vit_D_IU,Vit_K_mcg,FA_Sat_g,FA_Mono_g,FA_Poly_g,Cholestrl_mg,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
1159,"CHEESE,GOAT,SOFT TYPE",60.75,264,18.52,21.08,1.58,0,0,0,140,1.9,16,256,26,459,0.92,0.732,0.1,2.8,0,0.07,0.38,0.43,0.68,0.25,12,0,12,12,15.4,0.19,1033,288,283,0,54,0,0,0,0.18,0.4,15,1.8,14.575,4.807,0.501,46,28.35,1 oz,,,0
5113,"CHICKEN,ROASTING,MEAT ONLY,RAW",74.94,111,20.33,2.7,1.07,0,0,0,10,1.03,23,198,238,75,1.19,0.05,0.018,16.9,0,0.069,0.134,7.875,1.032,0.42,7,0,7,7,,0.36,45,13,13,0,0,0,0,0,0.22,,,2.4,0.67,0.83,0.67,65,85,3 oz,209,"1 unit,  (yield from 1 lb ready-to-cook chicken)",49
5117,"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,RAW",74.3,109,22.2,1.63,1.1,0,0,0,11,0.89,25,223,252,51,0.66,0.038,0.017,17.8,0,0.066,0.089,10.217,0.854,0.55,4,0,4,4,,0.39,27,8,8,0,0,0,0,0,0.22,,,2.4,0.37,0.48,0.4,57,99,"1 unit,  (yield from 1 lb ready-to-cook chicken)",220,".5 chicken, bone and skin removed",43
5119,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",75.48,113,18.74,3.61,1.04,0,0,0,9,1.15,21,178,227,95,1.65,0.059,0.02,13.5,0,0.072,0.173,5.878,1.183,0.32,9,0,9,9,,0.34,60,18,18,0,0,0,0,0,0.21,,,2.4,0.93,1.12,0.9,72,113,"1 unit,  (yield from 1 lb ready-to-cook chicken)",258,".5 chicken, bone and skin removed",53
5123,"CHICKEN,STEWING,MEAT&SKN,RAW",61.84,258,17.55,20.33,1.04,0,0,0,10,1.04,20,172,204,71,1.19,0.074,0.019,14.4,0,0.114,0.167,6.262,0.92,0.33,6,0,6,6,,0.32,178,52,52,0,0,0,0,0,0.33,,,2.4,5.71,8.24,4.44,71,85,3 oz,271,"1 unit,  (yield from 1 lb ready-to-cook chicken)",30
5125,"CHICKEN,STEWING,MEAT ONLY,RAW",72.54,148,21.26,6.32,1.27,0,0,0,10,1.09,24,209,251,79,1.4,0.089,0.019,15.7,3.3,0.149,0.207,7.477,1.09,0.44,7,0,7,7,,0.38,105,32,32,0,0,0,0,0,0.24,,,2,1.57,1.94,1.57,63,85,3 oz,194,"1 unit,  (yield from 1 lb ready-to-cook chicken)",50
5129,"CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW",73.24,137,23.1,4.21,1.1,0,0,0,11,0.92,26,231,261,53,0.6,0.067,0.018,17.8,1.8,0.132,0.123,9.915,0.887,0.57,4,0,4,4,,0.4,70,21,21,0,0,0,0,0,0.23,,,2.4,0.97,1.25,1.04,47,89,"1 unit,  (yield from 1 lb ready-to-cook chicken)",130,".5 chicken, bone and skin removed",44
5131,"CHICKEN,STEWING,DK MEAT,MEAT ONLY,RAW",71.94,157,19.7,8.12,1.41,0,0,0,10,1.22,23,190,242,101,2.08,0.107,0.021,13.5,4.6,0.163,0.279,5.405,1.262,0.34,10,0,10,10,,0.37,135,41,41,0,0,0,0,0,0.24,,,2.4,2.08,2.52,2.02,77,105,"1 unit,  (yield from 1 lb ready-to-cook chicken)",154,".5 chicken, bone and skin removed",54
5135,"CHICKEN,CAPONS,MEAT&SKN,RAW",63.24,234,18.77,17.07,0.96,0,0,0,11,1.09,21,183,217,45,1.17,0.05,0.02,14.6,1.7,0.064,0.127,7.273,0.965,0.36,6,0,6,6,,0.34,129,37,37,0,0,0,0,0,0.32,,,2.4,4.95,7.31,3.62,75,85,3 oz,297,"1 unit,  (yield from 1 lb ready-to cook capon)",28
5139,"DUCK,DOMESTICATED,MEAT&SKN,RAW",48.5,404,11.49,39.34,0.68,0,0,0,11,2.4,15,139,209,63,1.36,0.236,0.017,12.4,2.8,0.197,0.21,3.934,0.951,0.19,13,0,13,13,31,0.25,168,50,50,0,0,0,0,0,0.7,0.7,26,5.5,13.22,18.69,5.08,76,85,3 oz,287,"1 unit,  (yield from 1 lb ready-to-cook duck)",28
